Timestamp,Input Tokens,Output Tokens,Reasoning Tokens,Total Tokens(input + output),Successful Requests,Total Cost (USD)
2025-12-05 16:08:25,52880,4840,721,57720,3,0.027964000000000003
2025-12-05 16:14:47,50655,4062,1577,54717,3,0.0253515
2025-12-05 16:26:20,54291,4770,2408,59061,4,0.0282123
2025-12-05 16:35:25,51985,4693,826,56678,3,0.027328
2025-12-05 16:44:29,52849,3944,793,56793,3,0.0257147
2025-12-05 16:49:09,95660,4930,1809,100590,3,0.041023
2025-12-05 16:51:30,141067,4984,867,146051,5,0.0547801
2025-12-05 16:53:37,52645,3881,1020,56526,3,0.025495999999999998
2025-12-08 09:59:41,34529,7858,3880,42387,3,0.0300037
2025-12-08 10:19:05,206954,7023,1751,213977,5,0.0796437
2025-12-08 10:25:41,52695,5801,1510,58496,3,0.030311
2025-12-08 10:33:44,51383,5848,845,57231,3,0.0300349
2025-12-08 10:35:45,50852,5512,1580,56364,3,0.0290356
2025-12-09 15:08:29,43444,13942,10560,57386,3,0.1077604
2025-12-09 15:12:12,107306,15443,11392,122749,4,0.1833458
2025-12-09 15:16:14,106178,12453,8256,118631,4,0.1512082
2025-12-09 15:22:03,187808,23829,17344,211637,5,0.2897884
2025-12-09 15:27:53,279831,22381,17920,302212,7,0.2843225
2025-12-09 15:53:39,313837,12275,4800,326112,6,0.12483860000000001
2025-12-09 16:01:15,117109,7456,1723,124565,3,0.05377269999999999
2025-12-09 16:05:26,122952,12359,10367,135311,4,0.0677831
2025-12-09 16:14:59,203391,9568,0,212959,3,0.0849373
2025-12-09 16:29:04,188947,8060,4569,197007,3,0.07683409999999999
2025-12-10 12:18:08,52160,5141,1138,57301,4,0.028500499999999998
2025-12-10 12:24:22,118048,6033,1080,124081,4,0.0504969
2025-12-10 15:14:34,201407,6444,2231,207851,5,0.0765321
2025-12-10 15:44:02,152191,7384,2690,159575,5,0.0641173
2025-12-10 15:46:45,26174,6322,812,32496,3,0.0236572
